Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
06-02-2010,45.05,50.25,45.05,49.95,48.42058679,6101,36,295414,5467,89.61,5.2,4.9
05-02-2010,53,53,45.25,48,49.23715672,70679,329,3480033,55159,78.04,7.75,-5
04-02-2010,53.3,53.3,45.4,49.6,50.03059885,80003,399,4002598,65559,81.95,7.9,-3.7
03-02-2010,59,59,48.4,49.2,51.94715745,84572,445,4393275,63700,75.32,10.6,-9.8
02-02-2010,54.95,54.95,52.05,53.75,53.1182626,83619,89,4441696,71649,85.69,2.9,-1.2
01-02-2010,53.5,53.5,48.3,50.85,51.92236701,25247,156,1310884,15878,62.89,5.2,-2.65
29-01-2010,56,56,48.25,49.45,50.61872786,59569,100,3015307,57752,96.95,7.75,-6.55
28-01-2010,50.45,53.9,48.25,51.15,51.87694028,91224,215,4732422,78602,86.16,5.65,0.7
27-01-2010,57.85,57.85,50.95,52.4,52.9504536,67129,89,3554511,65828,98.06,6.9,-5.45
25-01-2010,54,56.8,52.25,55.5,55.27115274,139320,240,7700377,118491,85.05,4.55,1.5
22-01-2010,55,57.45,54.3,55.25,55.80858702,48189,100,2689360,45659,94.75,3.15,0.25
21-01-2010,55.05,58.85,54.25,54.4,56.44660634,108187,265,6106789,82271,76.05,4.6,-0.65
20-01-2010,55.35,59.95,55.35,57.8,57.9506861,181024,342,10490465,173542,95.87,4.6,2.45
19-01-2010,59.9,61.65,57.15,58.3,59.89409422,119002,480,7127517,91094,76.55,4.5,-1.6
18-01-2010,60.6,62.75,56.2,58.45,59.3977152,127101,416,7549509,80308,63.18,6.55,-2.15
15-01-2010,54.05,61,54.05,60.75,60.34989958,104067,352,6280433,88355,84.9,6.95,6.7
14-01-2010,61,62.45,57.25,58.35,59.92718008,62016,363,3716444,57961,93.46,5.2,-2.65
13-01-2010,61.55,65.5,58.65,60.9,63.55630566,118354,258,7522143,84417,71.33,6.85,-0.65
12-01-2010,67.1,67.1,63,65.15,65.13293825,85551,328,5572188,51039,59.66,4.1,-1.95
11-01-2010,66.95,66.95,63.55,64.65,64.96140781,86546,378,5622150,64712,74.77,3.4,-2.3
08-01-2010,67,67,63.1,66.2,65.44682623,92461,297,6051279,69990,75.7,3.9,-0.8
07-01-2010,64.2,68.95,60.1,64.95,65.82111859,101503,408,6681041,77150,76.01,8.85,0.75
06-01-2010,70.5,70.5,63.7,64.6,66.74451221,134116,401,8951507,118132,88.08,6.8,-5.9
05-01-2010,69.25,72.95,66.05,70.75,70.93168715,99908,522,7086643,57422,57.47,6.9,1.5
04-01-2010,75.8,75.8,65.3,71.6,70.37186332,156017,619,10979207,81216,52.06,10.5,-4.2
31-12-2009,70.5,71.45,66.55,68.95,69.97729385,153879,450,10768036,87364,56.77,4.9,-1.55
30-12-2009,73.75,73.75,68.55,69.1,71.28977566,129935,321,9263037,82609,63.58,5.2,-4.65
29-12-2009,70,72.05,68,68.9,71.07503604,114465,456,8135604,64095,56,4.05,-1.1
24-12-2009,70.5,75.8,70.1,74,73.84832471,123949,415,9153426,61524,49.64,5.7,3.5
23-12-2009,76,76,71.1,73.85,74.35528319,143843,255,10695487,96143,66.84,4.9,-2.15
22-12-2009,80,80,71.5,73.6,73.58686149,74118,105,5454111,62961,84.95,8.5,-6.4
21-12-2009,75,75,67,73.1,72.51877155,45814,133,3322375,37040,80.85,8,-1.9
18-12-2009,72,77.9,70.85,74.55,74.9723937,51836,355,3886269,27306,52.68,7.05,2.55
17-12-2009,60.8,72.95,60.4,70.45,69.84018488,90004,339,6285896,60907,67.67,12.55,9.65
16-12-2009,58,62.9,50.85,60.8,56.16944248,33864,207,1902122,14713,43.45,12.05,2.8
15-12-2009,52.55,55.25,51.2,52.45,53.93113363,29216,93,1575652,13787,47.19,4.05,-0.1
14-12-2009,53.1,57.5,53.05,54.45,54.93035089,15133,136,831261,4011,26.5,4.45,1.35
11-12-2009,54.8,58.4,53.75,54.95,56.03235655,30133,59,1688423,20928,69.45,4.65,0.15
10-12-2009,55,57.95,53.5,53.8,54.66186132,21157,102,1156481,5835,27.58,4.45,-1.2
09-12-2009,55.8,59.75,51.65,55.9,55.15285007,31122,204,1716467,9106,29.26,8.1,0.1
08-12-2009,65.95,67.95,56,57.65,57.70768071,37158,283,2144302,9475,25.5,11.95,-8.3
07-12-2009,65.55,71,57.6,65.25,64.07152383,42741,286,2738481,14444,33.79,13.4,-0.3
04-12-2009,84.95,84.95,66.3,71.95,73.91914512,133820,430,9891860,82395,61.57,18.65,-13
03-12-2009,72,72,65.2,70.8,71.4699767,84551,368,6042858,61676,72.95,6.8,-1.2
02-12-2009,60,60,60,60,60,250,3,15000,250,100,0,0
01-12-2009,36,50,36,50,49.7677582,30141,55,1500050,29000,96.21,14,14
